feature,importance_mean
mordred_ATS6s,93.66666666666667
mordred_AATS8v,93.66666666666667
mordred_MATS6p,93.53333333333333
mordred_MATS1dv,93.53333333333333
mordred_ATS5s,93.4
rdkit_MinEStateIndex,93.26666666666667
mordred_ATS4Z,93.2
erg_92,93.13333333333334
mordred_AATSC0i,92.66666666666667
mordred_piPC8,92.53333333333333
mordred_MATS2i,92.26666666666667
rdkit_Phi,92.2
mordred_ATSC0p,92.06666666666666
mordred_Kier3,91.86666666666666
mordred_AATS5v,91.86666666666666
mordred_ZMIC1,91.0
mordred_Xpc-4d,90.93333333333334
mordred_AATSC1Z,90.93333333333334
mordred_AATS6p,90.73333333333333
mordred_GATS1p,90.53333333333333
mordred_ATS8s,90.26666666666667
mordred_MDEC-23,90.13333333333334
mordred_AATS8p,90.06666666666666
mordred_ATSC1dv,89.33333333333333
mordred_AATS6v,89.06666666666666
mordred_Xpc-4dv,89.06666666666666
mordred_ATSC0d,88.66666666666667
erg_154,88.26666666666667
mordred_AATS5se,88.0
rdkit_Kappa2,87.86666666666666
mordred_ETA_eta_B,87.66666666666667
mordred_SssCH2,87.6
mordred_AATS1s,87.6
mordred_Xch-5dv,87.46666666666667
erg_151,87.0
mordred_AETA_eta,87.0
mordred_ATSC0i,86.8
mordred_GATS1Z,86.73333333333333
mordred_AATS4s,86.66666666666667
mordred_AATSC1s,86.66666666666667
rdkit_Chi0v,86.6
mordred_AATS0d,86.26666666666667
mordred_AATS7p,86.26666666666667
rdkit_SMR_VSA7,85.66666666666667
mordred_ATS0Z,85.66666666666667
mordred_AATS0i,85.53333333333333
mordred_AATS3s,85.2
erg_93,85.13333333333334
mordred_PEOE_VSA9,84.8
mordred_BCUTi-1h,84.6
mordred_AATS7Z,84.53333333333333
mordred_mZagreb1,84.2
mordred_AATS6dv,84.06666666666666
mordred_SsssCH,84.0
erg_152,83.93333333333334
rdkit_HallKierAlpha,83.53333333333333
mordred_AATS7dv,83.4
mordred_BCUTdv-1l,83.26666666666667
mordred_AATS4d,83.2
mordred_MIC1,83.06666666666666
mordred_AETA_eta_R,82.73333333333333
erg_94,82.06666666666666
mordred_AATS3d,81.73333333333333
mordred_AATS7v,80.86666666666666
mordred_AATSC2v,80.66666666666667
mordred_PEOE_VSA7,80.33333333333333
mordred_AATS3p,80.26666666666667
mordred_ATS6dv,80.2
mordred_EState_VSA3,79.86666666666666
mordred_AETA_beta,79.8
rdkit_SMR_VSA1,79.8
rdkit_Chi2v,78.93333333333334
rdkit_Chi4n,78.73333333333333
mordred_TopoPSA(NO),78.46666666666667
mordred_ATS4s,78.4
mordred_AATS1p,78.33333333333333
rdkit_Chi4v,77.73333333333333
mordred_AATS5dv,76.6
mordred_ATS8dv,76.6
mordred_AATS3dv,76.13333333333334
mordred_ATS5dv,76.06666666666666
mordred_ATS3s,76.06666666666666
mordred_PEOE_VSA10,75.86666666666666
mordred_EState_VSA4,75.66666666666667
mordred_VSA_EState3,75.6
mordred_AATS5Z,75.53333333333333
rdkit_Chi1v,75.4
erg_156,75.2
rdkit_MolMR,74.86666666666666
mordred_AATS6Z,74.66666666666667
mordred_AATS3v,74.66666666666667
mordred_AATS1se,74.46666666666667
mordred_AATS4v,74.33333333333333
mordred_AATS0dv,74.2
mordred_ATSC0se,73.93333333333334
mordred_AATSC2s,73.6
mordred_AATS2se,73.53333333333333
mordred_ATSC0dv,73.53333333333333
mordred_AATS4se,73.33333333333333
mordred_bpol,73.2
mordred_ATSC2s,73.06666666666666
mordred_BCUTv-1h,72.66666666666667
mordred_IC0,72.66666666666667
mordred_AATS3se,72.53333333333333
mordred_AATS0s,71.86666666666666
mordred_WPath,71.8
mordred_AATS1dv,71.2
mordred_BCUTse-1h,71.13333333333334
erg_95,70.46666666666667
erg_91,70.4
mordred_SpAbs_Dt,70.26666666666667
rdkit_LabuteASA,70.2
rdkit_SlogP_VSA6,69.66666666666667
mordred_SlogP_VSA3,69.46666666666667
rdkit_SlogP_VSA4,69.26666666666667
mordred_ATS1dv,69.26666666666667
mordred_Xc-3d,69.26666666666667
rdkit_Chi1,69.2
mordred_SpAbs_DzZ,69.2
mordred_MIC2,69.06666666666666
mordred_VSA_EState8,68.86666666666666
rdkit_MolWt,68.66666666666667
mordred_VSA_EState4,68.4
rdkit_Kappa1,68.33333333333333
erg_97,68.26666666666667
mordred_AATS4Z,68.13333333333334
mordred_SlogP_VSA2,68.0
mordred_SMR_VSA6,67.46666666666667
mordred_EState_VSA7,67.2
mordred_BCUTv-1l,67.06666666666666
rdkit_Chi3n,66.93333333333334
mordred_AATS4dv,66.86666666666666
rdkit_Chi3v,66.73333333333333
mordred_AATS0p,66.53333333333333
erg_153,66.46666666666667
rdkit_BertzCT,66.4
mordred_VSA_EState5,66.26666666666667
mordred_Kier2,65.93333333333334
mordred_ATS1Z,65.93333333333334
rdkit_Chi2n,65.73333333333333
mordred_PEOE_VSA6,65.6
mordred_ATS1s,65.46666666666667
erg_155,65.4
mordred_EState_VSA8,65.26666666666667
rdkit_HeavyAtomMolWt,65.26666666666667
rdkit_PEOE_VSA3,64.6
mordred_AETA_eta_F,64.53333333333333
mordred_EState_VSA2,64.2
rdkit_MaxEStateIndex,64.13333333333334
mordred_EState_VSA5,64.0
mordred_AATSC0dv,63.733333333333334
mordred_VSA_EState7,63.266666666666666
mordred_GATS1v,63.2
mordred_SlogP_VSA5,63.13333333333333
mordred_AATS3Z,63.0
mordred_ATS0dv,62.46666666666667
mordred_AATS0Z,62.333333333333336
mordred_PEOE_VSA2,62.266666666666666
mordred_CIC0,62.266666666666666
mordred_PEOE_VSA1,61.86666666666667
mordred_EState_VSA6,61.333333333333336
erg_19,61.333333333333336
rdkit_Chi0n,60.93333333333333
mordred_ATS3dv,60.733333333333334
mordred_MIC0,60.733333333333334
mordred_ATS2s,60.333333333333336
mordred_SM1_Dzv,60.2
mordred_BCUTZ-1h,60.0
mordred_ABC,59.733333333333334
mordred_ATS0s,59.666666666666664
rdkit_SlogP_VSA10,59.2
erg_96,59.2
rdkit_Chi1n,59.0
mordred_SM1_DzZ,58.86666666666667
mordred_AATS0v,58.733333333333334
erg_157,58.13333333333333
mordred_AATS0se,57.93333333333333
mordred_ETA_dBeta,57.53333333333333
rdkit_SlogP_VSA1,57.06666666666667
mordred_AATS1Z,56.53333333333333
mordred_AATS2Z,56.53333333333333
rdkit_PEOE_VSA12,56.333333333333336
rdkit_FractionCSP3,56.266666666666666
fcfp4_1556,56.2
mordred_ETA_eta_F,54.46666666666667
erg_98,53.733333333333334
erg_18,53.53333333333333
mordred_fragCpx,53.46666666666667
mordred_Xch-5d,52.46666666666667
mordred_SMR_VSA5,52.333333333333336
rdkit_PEOE_VSA11,52.2
erg_17,51.733333333333334
mordred_AATS2s,51.733333333333334
rdkit_SMR_VSA4,51.733333333333334
mordred_DetourIndex,50.333333333333336
rdkit_VSA_EState9,49.93333333333333
rdkit_ExactMolWt,49.4
mordred_EState_VSA9,49.2
erg_20,49.06666666666667
erg_150,49.06666666666667
erg_16,48.0
mordred_SM1_Dzse,47.666666666666664
mordred_VSA_EState1,45.06666666666667
erg_100,44.8
rdkit_fr_para_hydroxylation,44.666666666666664
rdkit_Chi0,44.4
rdkit_SMR_VSA9,43.8
erg_78,43.46666666666667
rdkit_VSA_EState10,43.4
rdkit_SlogP_VSA8,43.2
rdkit_EState_VSA1,43.2
mordred_SMR_VSA3,42.8
erg_21,42.733333333333334
erg_158,42.06666666666667
mordred_SaaaC,41.0
mordred_SMR_VSA7,39.666666666666664
erg_77,38.46666666666667
fcfp4_598,38.4
erg_138,38.266666666666666
erg_159,37.8
erg_101,36.8
mordred_SMR_VSA1,36.666666666666664
mordred_BCUTs-1h,36.53333333333333
erg_99,35.53333333333333
erg_141,35.46666666666667
rdkit_NumRotatableBonds,35.13333333333333
rdkit_PEOE_VSA4,34.86666666666667
erg_23,34.4
erg_76,34.13333333333333
erg_136,34.06666666666667
erg_137,34.0
erg_139,33.266666666666666
mordred_HybRatio,33.06666666666667
mordred_SlogP_VSA4,32.333333333333336
mordred_nBase,32.333333333333336
mordred_ETA_beta_ns_d,32.2
mordred_NdsCH,31.533333333333335
morgan_1088,31.066666666666666
morgan_1028,31.0
mordred_BertzCT,30.866666666666667
erg_79,30.6
erg_143,30.133333333333333
erg_25,30.133333333333333
erg_80,29.933333333333334
erg_288,29.733333333333334
mordred_SlogP_VSA10,29.533333333333335
erg_90,29.533333333333335
erg_22,29.266666666666666
erg_140,28.866666666666667
mordred_PEOE_VSA12,28.2
erg_287,28.066666666666666
mordred_PEOE_VSA3,27.666666666666668
mordred_C1SP2,27.333333333333332
mordred_C2SP2,27.0
fcfp4_792,26.933333333333334
erg_306,26.866666666666667
erg_123,26.8
fcfp4_1389,26.533333333333335
mordred_PEOE_VSA11,26.266666666666666
mordred_SlogP_VSA1,26.133333333333333
rdkit_HeavyAtomCount,26.066666666666666
rdkit_PEOE_VSA13,26.0
mordred_Xc-6d,25.733333333333334
mordred_nAtom,25.466666666666665
erg_304,24.866666666666667
erg_290,24.8
morgan_r3_1039,24.733333333333334
mordred_SMR_VSA4,24.6
rdkit_NumValenceElectrons,24.533333333333335
morgan_80,24.4
fcfp4_1085,24.266666666666666
mordred_Xc-4d,24.2
erg_303,24.133333333333333
morgan_r3_1088,23.666666666666668
erg_24,23.466666666666665
rdkit_EState_VSA10,23.333333333333332
erg_160,23.133333333333333
erg_135,23.133333333333333
mordred_C1SP3,23.066666666666666
avalon_697,23.0
mordred_VSA_EState9,22.933333333333334
morgan_1480,22.8
erg_142,22.733333333333334
erg_81,22.533333333333335
avalon_399,22.266666666666666
fcfp4_671,22.133333333333333
mordred_SMR_VSA9,22.0
erg_305,21.8
morgan_r3_80,21.8
morgan_618,21.466666666666665
morgan_1750,21.4
morgan_1697,21.266666666666666
avalon_830,21.066666666666666
erg_307,21.0
fcfp4_0,20.8
erg_302,20.666666666666668
fcfp4_1155,20.266666666666666
erg_289,20.266666666666666
erg_102,20.133333333333333
erg_62,20.133333333333333
rdkit_NumAtomStereoCenters,20.066666666666666
mordred_SssssC,19.933333333333334
erg_15,19.933333333333334
avalon_261,19.8
mordred_C2SP3,19.733333333333334
avalon_849,19.733333333333334
erg_291,19.733333333333334
morgan_1039,19.533333333333335
mordred_n6HRing,19.4
avalon_672,19.2
mordred_SlogP_VSA8,19.066666666666666
mordred_nH,18.8
erg_75,18.733333333333334
morgan_694,18.733333333333334
mordred_NssCH2,18.6
fcfp4_2017,18.6
fcfp4_2,18.466666666666665
mordred_NaasC,18.266666666666666
mordred_nBondsD,18.066666666666666
rdkit_fr_piperzine,18.0
mordred_EState_VSA1,17.733333333333334
morgan_926,17.733333333333334
erg_162,17.733333333333334
avalon_199,17.4
fcfp4_804,17.4
fcfp4_886,17.4
fcfp4_857,17.333333333333332
avalon_383,17.2
avalon_503,17.2
fcfp4_428,17.066666666666666
fcfp4_806,17.066666666666666
morgan_r3_959,17.0
morgan_r3_1028,16.933333333333334
morgan_1810,16.933333333333334
mordred_nC,16.733333333333334
erg_82,16.533333333333335
mordred_PEOE_VSA4,16.533333333333335
avalon_246,16.466666666666665
avalon_675,16.4
fcfp4_4,16.2
fcfp4_822,16.2
rdkit_NumHAcceptors,16.066666666666666
avalon_848,16.0
mordred_nRot,15.866666666666667
morgan_r3_1810,15.733333333333333
morgan_r3_171,15.666666666666666
avalon_37,15.666666666666666
morgan_307,15.533333333333333
avalon_162,15.466666666666667
morgan_875,15.466666666666667
avalon_596,15.466666666666667
avalon_337,15.333333333333334
morgan_1873,15.333333333333334
mordred_GGI1,15.2
morgan_489,15.0
avalon_774,14.933333333333334
avalon_96,14.933333333333334
morgan_r3_397,14.866666666666667
morgan_r3_1480,14.866666666666667
erg_108,14.8
mordred_C3SP2,14.8
erg_292,14.733333333333333
morgan_959,14.466666666666667
rdkit_NumHeterocycles,14.466666666666667
erg_61,14.4
avalon_34,14.333333333333334
fcfp4_2039,14.333333333333334
erg_26,14.333333333333334
avalon_493,14.266666666666667
morgan_1077,14.133333333333333
morgan_1410,14.066666666666666
erg_301,13.933333333333334
avalon_418,13.866666666666667
fcfp4_1926,13.8
mordred_NsssCH,13.8
morgan_r3_1410,13.8
avalon_875,13.733333333333333
morgan_1380,13.733333333333333
erg_106,13.6
erg_83,13.533333333333333
erg_107,13.466666666666667
erg_110,13.4
morgan_r3_1,13.333333333333334
morgan_r3_2014,13.266666666666667
mordred_nN,13.2
avalon_653,13.2
erg_308,13.066666666666666
avalon_29,13.0
erg_65,13.0
avalon_298,13.0
avalon_756,12.933333333333334
rdkit_NOCount,12.933333333333334
morgan_1057,12.933333333333334
rdkit_fr_NH0,12.866666666666667
avalon_745,12.8
avalon_1006,12.666666666666666
erg_161,12.666666666666666
avalon_693,12.666666666666666
erg_211,12.533333333333333
mordred_n6ARing,12.466666666666667
avalon_687,12.4
avalon_404,12.4
morgan_1,12.4
morgan_807,12.333333333333334
avalon_426,12.2
avalon_235,12.2
rdkit_fr_aryl_methyl,12.2
erg_294,12.133333333333333
fcfp4_2040,12.066666666666666
mordred_PEOE_VSA13,11.933333333333334
avalon_222,11.933333333333334
mordred_n7HRing,11.933333333333334
morgan_652,11.866666666666667
morgan_r3_1123,11.733333333333333
erg_144,11.733333333333333
morgan_1199,11.666666666666666
erg_27,11.666666666666666
erg_63,11.6
mordred_SRW05,11.466666666666667
erg_286,11.4
mordred_n6AHRing,11.4
avalon_69,11.4
avalon_85,11.4
morgan_1917,11.333333333333334
avalon_437,11.333333333333334
avalon_485,11.266666666666667
fcfp4_442,11.266666666666667
fcfp4_217,11.133333333333333
morgan_r3_1405,11.066666666666666
morgan_1019,10.933333333333334
avalon_367,10.866666666666667
avalon_818,10.866666666666667
avalon_570,10.866666666666667
mordred_C3SP3,10.8
morgan_1696,10.733333333333333
avalon_628,10.666666666666666
mordred_nAromAtom,10.6
avalon_902,10.6
fcfp4_1403,10.6
fcfp4_775,10.6
erg_64,10.6
avalon_1022,10.6
mordred_n6Ring,10.533333333333333
morgan_r3_875,10.533333333333333
erg_293,10.333333333333334
rdkit_fr_Ar_N,10.333333333333334
fcfp4_1668,10.266666666666667
avalon_324,10.266666666666667
avalon_177,10.2
erg_28,10.2
avalon_874,10.2
avalon_617,10.2
avalon_296,10.2
avalon_810,10.133333333333333
morgan_r3_307,10.133333333333333
morgan_r3_1750,10.133333333333333
morgan_293,10.133333333333333
avalon_807,10.066666666666666
avalon_770,10.0
avalon_821,9.933333333333334
avalon_731,9.933333333333334
avalon_194,9.866666666666667
morgan_r3_1873,9.866666666666667
avalon_420,9.866666666666667
morgan_r3_926,9.866666666666667
avalon_352,9.866666666666667
morgan_r3_283,9.866666666666667
avalon_641,9.8
avalon_100,9.8
morgan_935,9.733333333333333
morgan_r3_1215,9.666666666666666
morgan_233,9.666666666666666
erg_109,9.666666666666666
morgan_718,9.6
morgan_149,9.6
erg_111,9.533333333333333
morgan_r3_1697,9.533333333333333
rdkit_NumUnspecifiedAtomStereoCenters,9.533333333333333
avalon_421,9.466666666666667
fcfp4_1217,9.466666666666667
morgan_r3_1855,9.466666666666667
morgan_392,9.333333333333334
avalon_9,9.266666666666667
mordred_NaaCH,9.266666666666667
avalon_901,9.266666666666667
avalon_921,9.266666666666667
morgan_r3_896,9.266666666666667
morgan_r3_586,9.266666666666667
fcfp4_1624,9.266666666666667
morgan_1087,9.266666666666667
morgan_r3_1647,9.2
morgan_r3_1026,9.2
