OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY
O=NN(C[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@H]1O)[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O,SRNPMGDQUWLAEO-ZAPJKBGESA-N
O=NN(C[C@]1(O)OC[C@@H](O)[C@@H](O)[C@H]1O)[C@H](CC1=CNC2=CC=CC=C12)C(=O)O,SRNPMGDQUWLAEO-IETPZCKNSA-N
CCCCCCO[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,PSYNCYUUTFEJHA-VXEUKIBRSA-N
C=C[C@@H]1[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)OC=C(C(=O)OC)[C@@H]1CC=O,CSKKDSFETGLMSB-DAPNGDDTSA-N
NC1=NC=NC2=C1N=CN2[C@H]1O[C@@H](CO)[C@@H](NC(=O)[C@H](N)CCC(=O)O)[C@H]1O,BISOTIWDXUTHGX-IQSYXSGOSA-N
NC(=O)OC[C@@H]1N=C(N)N2C[C@@H](OS(=O)(=O)O)C(O)(O)[C@]23N=C(N)N[C@@H]13,ARSXTTJGWGCRRR-PGRQXVTRSA-N
CC(=O)O[C@@H]1[C@@H]2OC(=O)[C@@H](OC(C)=O)[C@@H]2O[C@@H]1N1C=NC2=C1C(=O)N=CN2,LQPLXQGQINRMSB-YBRCUDMCSA-N
O=C(O)C1=CO[C@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H]2[C@H]1C=C[C@@]2(O)CO,HPWWQPXTUDMRBI-MPGRKRGHSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H](C)[C@H](O)C[C@H]12,AMBQHHVBBHTQBF-JXJJGCLCSA-N
COCCNC(=O)C[C@@H]1O[C@H](CNS(=O)(=O)C2=CC=CC=C2)[C@@H](O)[C@H]1O,NLGZKEHUTNREDI-LQKXBSAESA-N
O=C(O)C[C@H](NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)O,VKGZCEJTCKHMRL-VWJPMABRSA-N
CC(C)NC(=O)NC[C@H]1O[C@@H](CC(=O)NCCN2CCOCC2)[C@H](O)[C@@H]1O,XDUZMCMPCPRWDP-LQKXBSAESA-N
O=C(NNC(=O)[C@H]1CC[C@H]2CN1C(=O)N2OS(=O)(=O)O)[C@@H]1CCCNC1,YCZPXRQPDCXTIO-KXUCPTDWSA-N
COC1=CC2=C(OC(=O)C=C2)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1OC,MLOMRDQPPYHSAX-QSDFBURQSA-N
CC(=O)N[C@@H]1[C@H](OC2=NNC(=O)C3=C(N)C=CC=C23)O[C@@H](CO)[C@@H](O)[C@@H]1O,YLCXXNRWYKEOPP-YMXDLSOXSA-N
COC1=CC=C(S(=O)(=O)N(CC(=O)O)[C@@H]2CS(=O)(=O)C[C@@H]2O)C=C1,JMQCDOYAULJZOG-NEPJUHHUSA-N
CC(=O)O[C@H]1[C@H]2OC(=O)[C@@H](OC(C)=O)[C@H]2O[C@@H]1N1C=NC2=C1C(=O)N=CN2,LQPLXQGQINRMSB-VITBEWHZSA-N
COC1=NC(N[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)=C(Br)C(=O)N1C,VRAGVWXGEVYCGU-BCROTXFESA-N
N[C@@H]1N=CN[C@@H]2[C@@H]1N=CN2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,IIXDONAKNVHTJJ-OMCDLXCCSA-N
CCC[C@H](O)[C@H](O)/C=C/C1=C(CO)[C@@H]2O[C@H](C(C)(C)O)C[C@]2(O)[C@H](O)[C@@H]1O,VQWGPODDCMJNCY-CQXMBEHGSA-N
COC1=CC=C(OC)C(S(=O)(=O)N(CCO)[C@@H]2CS(=O)(=O)C[C@@H]2O)=C1,CVCXRODLTXHENJ-NEPJUHHUSA-N
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,SIKRQBHORYFZFT-RMIALFOJSA-N
C[C@]1(O)CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21,VLCHQFXSBHIBRV-NJPMDSMTSA-N
CC(=O)NC[C@@]1(O)COCCN(CC(=O)NC2=CC=C3NC(=O)NC3=C2)C1,OYORDDMWHMGLEC-KRWDZBQOSA-N
O=C(NNC(=O)[C@H]1CC[C@H]2CN1C(=O)N2OS(=O)(=O)O)[C@H]1CCCNC1,YCZPXRQPDCXTIO-LPEHRKFASA-N
CN1C(=O)C2=C(N=CN2CC(=O)OCC(=O)NCC(F)(F)F)N(C)C1=O,BJSGJFYFNRYPPL-UHFFFAOYSA-N
COC(=O)C1=CO[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]2C(CO)=CC[C@@H]12,IBFYXTRXDNAPMM-WBBDDUJZSA-N
COC1=CC=C(C(=O)N[C@@H]2C=C(C(=O)NCCC(N)=O)C[C@@H](O)[C@@H]2O)C=C1,BQPLHKYKKYADGA-IIAWOOMASA-N
NC1=NC(=S)C2=C(N1)N([C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O)C=N2,BPZXYEUJBFHASJ-HFXAWCPLSA-N
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](C[C@H](N)CC[C@@H](N)C(=O)O)[C@@H](O)[C@H]1O,LMXOHSDXUQEUSF-SMKPNTNISA-N
CN1CCN(C[C@@]2(O)CCCN(C(=O)CN3CCN(CCO)CC3)CC2)CC1,ICRKANZTUTWDSP-HXUWFJFHSA-N
O=C(O)CCN1C(O)=C2C(=C1O)C1C=CC2C2=C(O)N(CCC(=O)O)C(O)=C21,ZELFNYOAZUCRPB-UHFFFAOYSA-N
COC1=CC=C(S(=O)(=O)N(CCN)[C@H]2CS(=O)(=O)C[C@H]2O)C(OC)=C1,WKIJJMXPRXJOQB-NWDGAFQWSA-N
NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1NC(=O)C(F)(F)F)C=N2,DWVVZCNIKDWTEY-DXTOWSMRSA-N
COC(=O)C1=CO[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=CC[C@H]12,IBFYXTRXDNAPMM-FDAPFYAOSA-N
NC(=O)[C@@H]1CN(C(=O)CCN2C(=O)COCC2=O)CCN1CC1=CC=CC=C1,GEALZSFZKZVQIJ-HNNXBMFYSA-N
CCOC(=O)N[C@@H]1CS(=O)(=O)C[C@@H]1N1C(=S)N[C@H]2CS(=O)(=O)C[C@@H]21,FBKUHPAPHARZHG-JXUBOQSCSA-N
COC(=O)[C@@H]1[C@@H](C(=O)OC)[C@@H]2C(=O)[C@H]3[C@H](C(=O)OC)[C@H](C(=O)OC)[C@@H]3C(=O)[C@H]12,ABROGWXICUPYEM-ALURDMBKSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@H]1CC[C@@]2(C)O,XBGJTRDIWPEIMG-KYMQPQHFSA-N
CCOC(=O)N[C@@H]1CS(=O)(=O)C[C@@H]1N1C(=S)N[C@@H]2CS(=O)(=O)C[C@@H]21,FBKUHPAPHARZHG-IMSYWVGJSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@@H]12,AMBQHHVBBHTQBF-ZWTYCWAMSA-N
CC(C)[C@H](NC(=O)[C@@H]1CS[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)N21)C(=O)O,SGCQGQPJLNSSAR-XJCZFWRVSA-N
C[C@@H](NC(=O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@@H](NC(=O)NC2CCCCC2)C1)C(N)=O,PAZLVYJYBDDTHF-OYUDGZIASA-N
CC1=C(/C=C\C(=O)N[C@H](CO)C[S@@+]([O-])C[S@+](C)[O-])C(=O)NC(=O)N1,ZIMCIWWBWLSQCN-ABTVPHRPSA-N
CCCN([C@@H]1CCS(=O)(=O)C1)S(=O)(=O)C1=CN(C)C(=O)N(C)C1=O,HVXAFPGBOSGDEW-SNVBAGLBSA-N
CC[C@H](C)CO[C@H]1O[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,QGZWEFZSPCYRKL-IPFMOZHVSA-N
CC(=O)N[C@@H]1[C@H](OC2=NNC(=O)C3=C(N)C=CC=C23)O[C@@H](CO)[C@H](O)[C@@H]1O,YLCXXNRWYKEOPP-JAZUZQGESA-N
